Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
Roope Hintz,DAL,25,C,60,19,14,14,33,16,3,14:44,12:27,1:57,0:20,1.288,0.949,2.237,1.124,0.241,1.365,1.527,5.6,7.127,0.317,0.233,0.55,120,15.8%,73,28
Anthony Duclair,FLA,26,RW,66,23,17,8,40,18,-5,16:16,12:45,2:34,0:56,1.285,0.95,2.235,1.14,0.998,2.138,1.766,1.06,2.826,0.348,0.258,0.606,184,12.5%,53,39
Alex DeBrincat,CHI,24,RW,70,18,27,16,45,15,-10,17:29,14:00,3:28,0:00,0.882,1.323,2.205,0.49,1.285,1.775,2.466,1.48,3.945,0.257,0.386,0.643,207,8.7%,58,19
Ondrej Palat,TBL,30,LW,69,17,24,8,41,22,25,16:10,14:01,1:19,0:50,0.914,1.29,2.203,0.744,1.24,1.985,2.622,2.622,5.244,0.246,0.348,0.594,128,13.3%,146,61
Vincent Trocheck,CAR,28,C,62,11,27,7,38,49,-8,16:43,14:14,1:58,0:31,0.636,1.562,2.199,0.612,1.428,2.04,0.49,2.942,3.433,0.177,0.435,0.613,141,7.8%,101,37
Roman Josi,NSH,29,D,69,16,49,23,65,41,22,25:46,20:29,3:16,2:00,0.54,1.653,2.193,0.509,1.273,1.782,1.061,5.041,6.102,0.232,0.71,0.942,260,6.2%,52,108
Dougie Hamilton,CAR,27,D,47,14,26,12,40,32,30,23:17,17:47,3:09,2:19,0.768,1.426,2.193,0.861,1.076,1.937,0.807,4.036,4.844,0.298,0.553,0.851,170,8.2%,52,63
Max Domi,CAR,26,C,71,17,27,11,44,35,-3,17:05,14:45,2:19,0:01,0.84,1.335,2.175,0.916,0.974,1.89,0.364,3.64,4.004,0.239,0.38,0.62,179,9.5%,32,13
Nicholas Suzuki,MTL,22,C,71,13,28,14,41,6,-15,15:59,13:31,2:10,0:17,0.687,1.48,2.167,0.437,1.25,1.687,2.335,3.113,5.448,0.183,0.394,0.577,138,9.4%,64,32
Adam Henrique,ANA,31,C,71,26,17,9,43,22,-2,16:52,13:59,2:19,0:33,1.302,0.852,2.154,1.269,0.786,2.054,1.817,1.454,3.27,0.366,0.239,0.606,169,15.4%,75,32
Mikael Backlund,CGY,32,C,70,16,29,10,45,26,3,17:55,14:55,1:24,1:35,0.765,1.387,2.152,0.574,1.263,1.837,1.831,4.273,6.105,0.229,0.414,0.643,157,10.2%,44,11
Mats Zuccarello,MIN,34,RW,65,15,22,7,37,18,-9,15:56,13:26,2:28,0:01,0.869,1.274,2.143,0.824,1.236,2.06,1.122,1.496,2.617,0.231,0.338,0.569,96,15.6%,13,36
Quinton Hughes,VAN,22,D,68,8,45,25,53,22,-10,21:53,18:01,3:48,0:02,0.323,1.814,2.137,0.245,1.126,1.371,0.694,5.092,5.786,0.118,0.662,0.779,126,6.4%,7,46
Rickard Rakell,PIT,28,RW,65,15,27,9,42,12,-5,18:09,15:08,2:21,0:39,0.762,1.372,2.134,0.731,1.097,1.828,1.172,2.345,3.517,0.231,0.415,0.646,186,8.1%,81,29
Tom Wilson,WSH,27,RW,68,21,23,7,44,93,-3,18:15,14:23,1:50,2:01,1.014,1.111,2.126,0.92,1.226,2.146,2.389,0.955,3.344,0.309,0.338,0.647,154,13.6%,253,58
Phillip Danault,LAK,28,C,71,13,34,4,47,32,18,18:50,14:45,1:33,2:30,0.583,1.526,2.109,0.687,1.775,2.462,0.54,1.621,2.161,0.183,0.479,0.662,131,9.9%,119,37
Dylan Larkin,DET,25,C,71,19,34,14,53,39,-21,21:14,17:15,3:13,0:45,0.756,1.352,2.108,0.685,1.224,1.909,1.309,2.356,3.665,0.268,0.479,0.746,223,8.5%,52,45
Sam Reinhart,FLA,26,C,69,22,28,12,50,20,-15,20:37,17:06,3:27,0:02,0.927,1.18,2.108,0.864,1.067,1.931,1.255,1.757,3.013,0.319,0.406,0.725,144,15.3%,36,27
Rasmus Dahlin,BUF,21,D,59,4,36,19,40,38,-7,19:17,15:50,3:21,0:05,0.211,1.897,2.108,0.128,1.22,1.348,0.606,5.147,5.753,0.068,0.61,0.678,90,4.4%,72,51
